ID,Name,Designator,Package,Qty,Manufactutuer part,Manufacturer,Supplier,Supplier part,Mounted,Price @ Q,Count,Cost
1,100K,R30,R0201,1,PFR03S-104-JNH,Delta Electronics,Digikey,2037-PFR03S-104-JNHCT-ND,Y,0.1,5,0.5
2,100nF,"C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C21, C24, C26, C28, C30, C33, C36, C38, C40, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C53, C54",C0201,35,GRM033R61A104ME15D,Murata Electronics,Digikey,490-5405-1-ND,Y,0.0062,175,1.085
3,10118241-001RLF,UHDMI,10118241001RLF,1,10118241-001RLF,Amphenol,Digikey,609-4615-1-ND,Y,1.42000,5,7.1
4,10K,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28",R0201,28,CR0201-JW-103GLF,Bourns,Digikey,CR0201-JW-103GLFCT-ND,Y,0.0054,140,0.756
5,10nF,"C20, C25, C29, C32, C37, C41",C0201,6,GRM033R61C103KA12D,Murata Electronics,Mouser,187-CL05A106MP5NUNC,Y,0.1,30,3
6,10uF,"C1, C22, C34, C52",C0402K,4,CL05A106MP5NUNC,Samsung Electro-mechanics,Digikey,1276-1450-1-ND,Y,0.138,20,2.76
7,12K,R32,R0201,1,RC0201FR-0712KL,Yageo,Digikey,311-12.0KMCT-ND,Y,0.1,5,0.5
8,1uF,"C6, C19, C23, C27, C31, C35, C39, C55, C56",C0201,9,GRM033R61C105ME15D,Murata Electronics,Digikey,490-18654-1-ND,Y,0.148,45,6.66
9,220R,"R29, R31, R33, R34, R35",R0201,5,WR02X221 JAL,Walsin Technology,Digikey,1292-WR02X221JALCT-ND,Y,0.018,25,0.45
10,74ALVC164245DGG:11,"IC7, IC8",SOP50P810X120-48N,2,74ALVC164245DGG:11,Nexperia,Digikey,1727-4290-1-ND,Y,0.912,10,9.12
11,"74LVC1T45GS,132","IC1, IC4, IC5, IC6, IC9, IC10, IC11",74LVC1G3157GS132,7,"74LVC1T45GS,132",Nexperia,Digikey,1727-8053-1-ND,Y,0.3456,35,12.096
12,DSC6001J,Y1,DSC6001JE2B0240000,1,DSC6001JI1A-050.0000,Microchip,Digikey,DSC6001JI1A-050.0000-ND,Y,0.92,5,4.6
13,GREEN-0603,"DONE, LD0, LD1, LD2, STATUS",LED-0603,5,SML-E12M8WT86,Rohm Semiconductor,Digikey,511-1584-1-ND,Y,0.244,25,6.1
14,NCP186BMX330TAG,IC13,XDFN8,1,NCP186BMX330TAG,OnSemi,Digikey,NCP186BMX330TAGOSCT-ND,Y,0.48,5,2.4
15,MIC803-30D2VC3-TR,SPV,SOT95P237X111-3N,1,MIC803-30D2VC3-TR,Microchip,Mouser,998-MIC803-30D2VC3TR,Y,0.33,5,1.65
16,MUN2211T3G,IC12,SOT-23-3,1,MUN2211T3G,OnSemi,Digikey,MUN2211T3GOSCT-ND,Y,0.18,5,0.9
17,NCP187AMT120TAG,IC2,SON65P200X200X80-7N,1,NCP187AMT120TAG,OnSemi,Mouser,863-NCP187AMT120TAG,Y,0.64,5,3.2
18,T8,U$1,TQFP144,1,T8Q144I4,Efinix,Digikey,2134-T8Q144I4-ND,Y,6.82,5,34.1
19,W25Q32JVSSIQ,FLASH,SO08,1,W25Q32JVSSIQ,Winbond,Digikey,W25Q32JVSSIQ-ND,Y,0.89,5,4.45
,,,,,,,,,,,,
,,,,,,,,,,,Total,101.427
